OrderNo,CustomerCode,CustomerName,CustomerType,InvoiceDate,InvoiceNo,TransactionType,OrderStatus,ProductCode,ProductName,Uom,ItemPricePerUnit,ShippedQty,ShippedAmount,ConversionFactor,Point
1127753,BRIG,BRIGHTON BAY PIZZA,MN,2018-07-04 00:00:00,877200,Invoice,90,BCT,BCT - TOMATO CRUSHED GEPPINO 3KG 6/CTN,CTN,4.2500,1.0000,25.50,6.0000000,5
1126892,BRUNE,BRUNETTI  CAKES,BV,2018-07-02 00:00:00,876569,Invoice,90,BTC,BTC - CREAM THICKENED BULLA 5LT 3/CTN,CTN,22.3000,7.0000,468.30,3.0000000,35
1127115,BUBCRAN,BUBBA PIZZA CRANBOURNE WEST,B3,2018-07-02 00:00:00,876510,Invoice,90,7CBLB,7CBLB - LASAGNE BOLGNESE 7 CHEFS 2.3KG 3/CTN,TRAY,15.9900,1.0000,17.59,1.0000000,24
1126939,BUBCROY4,BUBBA PIZZA - CROYDON,B3,2018-07-02 00:00:00,876673,Invoice,90,7CBLB,7CBLB - LASAGNE BOLGNESE 7 CHEFS 2.3KG 3/CTN,TRAY,15.9900,1.0000,17.59,1.0000000,24
1126940,BUBLANG3,BUBBA PIZZA - LANGWARRIN,B3,2018-07-02 00:00:00,876508,Invoice,90,7CBLB,7CBLB - LASAGNE BOLGNESE 7 CHEFS 2.3KG 3/CTN,TRAY,15.9900,1.0000,17.59,1.0000000,24
1136491,BUBLILY4,|BUBBA PIZZA, LILYDALE|,B3,2018-08-02 00:00:00,884212,Invoice,90,ACC1,ACC1 - CREAM COOKING CULINARY ANCHOR 1LT 12/CTN,PKT,8.3000,4.0000,33.20,1.0000000,7
1127116,BUBPAKE5,BUBBA PIZZA - PAKENHAM,B3,2018-07-03 00:00:00,876818,Invoice,90,7CBLB,7CBLB - LASAGNE BOLGNESE 7 CHEFS 2.3KG 3/CTN,TRAY,15.9900,1.0000,17.59,1.0000000,24
1202200,BUBTORQ2,BUBBA PIZZA TORQUAY,B3,2019-04-03 00:00:00,938920,Invoice,90,7CBLB,7CBLB - LASAGNE BOLGNESE 7 CHEFS 2.3KG 3/CTN,TRAY,15.0000,1.0000,16.50,1.0000000,24
1128185,BURPC,BURRITO BAR POINT COOK,BR,2018-07-05 00:00:00,877380,Invoice,90,BSC,BSC - CREAM SOUR LITE BULLA 5LT,TUB,26.2300,3.0000,78.69,1.0000000,40
1127060,CAESER,CAESERS ITALIAN CUISINE,CZ,2018-07-02 00:00:00,876412,Invoice,90,FPTS,FPTS - PIZZA TOPPING SHRED FABBRIS 3.0KG 3/CTN,CTN,10.8000,2.0000,64.80,3.0000000,6.66666666666667
1127254,CARDPH,CARDINIA PARK HOTEL,M,2018-07-02 00:00:00,876492,Invoice,90,BGC,BGC - CHEESE GOATS SOIGNON 1KG 2/CTN,LOAF,23.0400,1.0000,23.04,1.0000000,12
